	name	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	win_rate	game_n	win_n	lose_n
0	立川	2023-07-18	1554	1554	1500	23	1	4.0	1.0	3.0	3.0	0.0
2	ひぐち	2023-07-18	1544	1544	1500	20	2	0.0	1.0	2.0	2.0	0.0
28	sako	2023-07-14	1543	1543	1500	0	3	0.0	1.0	2.0	2.0	0.0
27	藤村	2023-07-14	1539	1539	1500	0	4	0.0	1.0	2.0	2.0	0.0
26	ボンちゃん	2023-07-14	1539	1539	1500	0	4	0.0	1.0	2.0	2.0	0.0
25	ときど	2023-07-14	1539	1539	1500	0	4	0.0	1.0	2.0	2.0	0.0
11	ガチくん	2023-07-18	1537	1537	1500	21	7	-2.0	1.0	2.0	2.0	0.0
16	Shuto	2023-07-18	1531	1531	1500	15	8	-3.0	1.0	2.0	2.0	0.0
22	ヤマグチ	2023-07-14	1528	1528	1500	0	9	0.0	1.0	1.0	1.0	0.0
24	どぐら	2023-07-14	1524	1524	1500	0	10	0.0	1.0	1.0	1.0	0.0
15	水派	2023-07-18	1516	1516	1500	16	11	0.0	1.0	1.0	1.0	0.0
14	KEI.B	2023-07-18	1513	1513	1485	28	12	13.0	0.5	2.0	1.0	1.0
29	ももち	2023-07-14	1501	1501	1484	0	13	0.0	0.5	2.0	1.0	1.0
34	りゅうせい	2023-07-01	1500	1500	1500	0	14	0.0	0.0	0.0	0.0	0.0
35	ササモ	2023-07-01	1500	1500	1500	0	14	0.0	0.0	0.0	0.0	0.0
23	かずのこ	2023-07-14	1499	1516	1499	0	16	0.0	0.5	2.0	1.0	1.0
13	ACQUA	2023-07-18	1498	1500	1472	26	17	16.0	0.5	2.0	1.0	1.0
21	GO1	2023-07-14	1495	1500	1469	0	18	0.0	0.3333333333333333	3.0	1.0	2.0
17	あきら	2023-07-18	1494	1500	1477	17	19	11.0	0.5	2.0	1.0	1.0
12	まちゃぼー	2023-07-18	1494	1517	1494	-23	19	-15.0	0.5	2.0	1.0	1.0
10	ネモ	2023-07-18	1493	1500	1476	17	21	10.0	0.5	2.0	1.0	1.0
1	カワノ	2023-07-18	1484	1500	1484	-16	22	-11.0	0.0	1.0	0.0	1.0
33	キチパ	2023-07-07	1484	1500	1484	0	22	0.0	0.0	1.0	0.0	1.0
31	フェンリっち	2023-07-07	1484	1500	1484	0	22	0.0	0.0	1.0	0.0	1.0
30	ぷげら	2023-07-07	1484	1500	1484	0	22	0.0	0.0	1.0	0.0	1.0
7	ナウマン	2023-07-18	1483	1500	1483	-17	26	-15.0	0.0	1.0	0.0	1.0
8	じゃじい	2023-07-18	1483	1500	1483	-17	26	-15.0	0.0	1.0	0.0	1.0
18	板橋ザンギエフ	2023-07-14	1483	1500	1483	0	26	0.0	0.0	1.0	0.0	1.0
19	鶏めし	2023-07-14	1477	1500	1477	0	29	0.0	0.0	1.0	0.0	1.0
20	マゴ	2023-07-14	1476	1500	1476	0	30	0.0	0.0	1.0	0.0	1.0
32	ジョニィ	2023-07-07	1476	1500	1476	0	30	0.0	0.0	1.0	0.0	1.0
9	オニキ	2023-07-18	1474	1500	1474	-26	32	-21.0	0.0	1.0	0.0	1.0
6	ふ～ど	2023-07-18	1470	1500	1470	-15	33	-8.0	0.0	2.0	0.0	2.0
5	ストーム久保	2023-07-18	1456	1500	1456	-28	34	-7.0	0.0	2.0	0.0	2.0
4	もけ	2023-07-18	1453	1500	1453	-21	35	-3.0	0.0	2.0	0.0	2.0
3	竹内ジョン	2023-07-18	1452	1500	1452	-20	36	-3.0	0.0	2.0	0.0	2.0
