date	name	rating	diff_rating	rank	diff_rank	points	game_n	win_n	lose_n	updated
2023-08-18	FAV gaming	1580	11	1	0	140	12	10	2	True
2023-08-18	Saishunkan Sol 熊本	1553	13	2	0	100	9	7	2	True
2023-08-15	Good 8 Squad	1523	-15	3	0	65	10	6	4	False
2023-08-15	CAG	1509	16	4	1	80	10	5	5	False
2023-08-18	忍ism Gaming	1494	-19	5	-1	70	10	6	4	True
2023-08-15	魚群	1484	15	6	1	50	9	4	5	False
2023-08-18	名古屋OJA BODY STAR	1461	-13	7	-1	50	12	4	8	True
2023-08-18	広島 TEAM iXA	1460	19	8	1	45	13	4	9	True
2023-08-18	DetonatioN FocusMe	1436	-11	9	-1	10	9	1	8	True
